"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"POU5F1",1.80531413109816e-25,0.978805772222386,0.78,0.585,6.08282543332215e-21
"SNRPD1",1.86017449003124e-25,0.591431831247636,0.954,0.936,6.26767192671125e-21
"MDH1",5.20130217140078e-25,0.729891495131282,0.747,0.669,1.75252675363178e-20
"CKS2",6.06426917393052e-25,0.724841768755372,0.913,0.877,2.04329485546415e-20
"EEF1A1",1.09805190343687e-24,0.253420535918553,1,1,3.69977608344018e-20
"UBE2T",1.97559655574075e-24,0.741611118388298,0.651,0.496,6.6565750349129e-20
"PSMB3",2.10489710216038e-24,0.584364620773199,0.892,0.887,7.09224029601919e-20
"STMN1",3.57189200359754e-24,0.502325449339908,0.988,0.985,1.20351329169216e-19
"HN1",4.56204849631341e-24,0.651290644422886,0.921,0.879,1.53713662034784e-19
"AP2M1",9.03018373196385e-24,0.632301833122038,0.876,0.861,3.0426301066479e-19
"UBE2C",9.91560520653243e-24,0.968229732637049,0.763,0.641,3.34096401828904e-19
"UBC",1.47618686597772e-23,0.771931279047545,0.9,0.878,4.97386402622534e-19
"EIF4A1",1.52343672888168e-23,0.641424649801482,0.813,0.786,5.13306771429395e-19
"PAICS",2.03744098513042e-23,0.705720317601005,0.772,0.696,6.86495365529844e-19
"RBM8A",2.19926130947794e-23,0.55942830630454,0.892,0.864,7.41019105615498e-19
"FABP5",2.23311987406376e-23,0.947441138303973,0.855,0.791,7.52427410367044e-19
"EEF2",2.82433378491165e-23,0.400434286397475,1,0.998,9.5163102548813e-19
"ILF2",2.8419391725113e-23,0.625585831906996,0.838,0.821,9.57562984785958e-19
"SNRPD2",6.10765684391289e-23,0.415784566783119,0.992,0.992,2.05791389698801e-18
"VDAC3",1.62644308442718e-22,0.639267763067528,0.747,0.67,5.48013732866894e-18
"CCT8",1.74711142721783e-22,0.692457868045963,0.842,0.819,5.88671724286777e-18
"EIF3I",1.81876224818714e-22,0.572172922150707,0.83,0.794,6.12813751904175e-18
"HMGB3",2.00138042770091e-22,0.735122018497631,0.851,0.781,6.74345121309544e-18
"SUMO1",3.8834355340847e-22,0.569498397138079,0.88,0.898,1.3084847688545e-17
"TUBB4B",3.96945788752108e-22,0.77035120919139,0.743,0.652,1.33746914062135e-17
"TMSB4X",4.57346340762327e-22,0.454340509712434,1,1,1.54098276056458e-17
"CCNB1",4.98933801340857e-22,0.850847362709034,0.614,0.452,1.68110755023788e-17
"CFL1",6.90421246310957e-22,0.391121282254951,1,0.995,2.32630534732014e-17
"XRCC5",1.04375099453295e-21,0.684907864036919,0.788,0.756,3.51681460097931e-17
"TKT",1.58384489994425e-21,0.60495391546098,0.867,0.846,5.33660700587215e-17
"SSB",1.61222228311772e-21,0.665868347354543,0.805,0.756,5.43222176073684e-17
"HNRNPA1",1.82104313097939e-21,0.308963066974608,1,1,6.13582272552196e-17
"CKS1B",2.20543398462339e-21,0.529701339882451,0.946,0.885,7.43098926779005e-17
"PHB",3.03631419006732e-21,0.607911534468662,0.871,0.869,1.02305570320128e-16
"UGP2",3.2559449309893e-21,0.851954940396855,0.718,0.595,1.09705808504754e-16
"PA2G4",3.64613900482772e-21,0.722443748770907,0.747,0.707,1.22853007628665e-16
"ADH5",3.83117982691975e-21,0.659992930499491,0.788,0.756,1.29087773088234e-16
"FTH1",4.26962057014638e-21,0.325448795239689,1,1,1.43860595490512e-16
"GSTP1",5.22299583575721e-21,0.530693285859591,1,0.998,1.75983621690003e-16
"GDI2",5.33460923234173e-21,0.594155434269674,0.793,0.801,1.79744323474522e-16
"PSMB7",2.57675278243436e-20,0.519864460977381,0.888,0.897,8.68211082513432e-16
"CALM1",2.99041280263029e-20,0.656797431663335,0.834,0.817,1.00758968971825e-15
"PSMB6",4.17513981359328e-20,0.529845775950233,0.938,0.917,1.40677160879212e-15
"EIF4A3",5.83413261250099e-20,0.723807238899917,0.531,0.371,1.96575264245608e-15
"CKB",6.44109212753874e-20,0.542671746837213,0.896,0.866,2.1702615814529e-15
"CDC123",6.98862303241907e-20,0.72874187113067,0.643,0.557,2.35474664454328e-15
"ACAT2",1.10326194714887e-19,0.833416626788301,0.61,0.509,3.71733080472339e-15
"SERBP1",1.59948088583037e-19,0.501680860553624,0.929,0.939,5.38929089671684e-15
"EIF2S2",2.49411028544038e-19,0.640580041102142,0.842,0.809,8.40365519576283e-15
"PRDX3",2.77570377361652e-19,0.610490730822477,0.722,0.672,9.3524562948235e-15
"PSMA3",2.81427323883545e-19,0.669668719004745,0.722,0.69,9.48241225093216e-15
"KRT18",3.11590546298685e-19,0.52310242539872,0.838,0.776,1.04987318669879e-14
"RHOA",1.32329157813319e-18,0.532977146028178,0.884,0.887,4.45869864336197e-14
"CACYBP",1.50200982556393e-18,0.613549875390392,0.776,0.713,5.06087190625511e-14
"MRPL47",1.70759569025e-18,0.653397222087356,0.685,0.643,5.75357291872834e-14
"PSMC3",2.67781308398202e-18,0.651275746315296,0.693,0.642,9.02262340516903e-14
"POMP",3.32435436965404e-18,0.457588282479469,0.954,0.934,1.12010796131123e-13
"SAP18",3.95959312938498e-18,0.678656852804009,0.913,0.93,1.33414530901497e-13
"HNRNPM",4.06869600462856e-18,0.577146387122611,0.793,0.783,1.37090643179955e-13
"C14orf166",4.08763079244692e-18,0.473852799132311,0.905,0.928,1.37728631920707e-13
"GLO1",4.5767021504601e-18,0.570304983468702,0.726,0.695,1.54207402257603e-13
"SNRPD3",4.76827030300585e-18,0.580111419790527,0.788,0.773,1.60662099589479e-13
"PDHA1",6.34343440762315e-18,0.619257211759204,0.61,0.491,2.13735678930454e-13
"SUB1",6.49657506377266e-18,0.445001325627726,0.909,0.909,2.18895600198756e-13
"PSMD2",1.1805789841521e-17,0.606874606593263,0.643,0.546,3.97784282920209e-13
"FDFT1",1.196561871975e-17,0.681181144136017,0.631,0.521,4.03169557143257e-13
"HSP90AA1",1.4477958833212e-17,0.463321645030506,0.992,0.988,4.87820344926245e-13
"PKM",1.55651815951237e-17,0.599767995461408,0.88,0.913,5.24453228666099e-13
"ATP5G3",1.6163956594784e-17,0.426608148179469,0.946,0.969,5.44628353504653e-13
"MDH2",2.0378534224256e-17,0.571879943477919,0.776,0.764,6.86634332152082e-13
"STOML2",2.12404475636083e-17,0.479519929955231,0.846,0.866,7.15675640208218e-13
"HNRNPA2B1",2.1804677715855e-17,0.437844569518868,0.959,0.94,7.34686810958017e-13
"HSPE1",2.5332480193674e-17,0.428960285785785,0.983,0.965,8.5355258764565e-13
"SNRPC",3.0617812396976e-17,0.494961608028196,0.876,0.872,1.03163657090371e-12
"CCT2",4.42243408259912e-17,0.546057414319556,0.797,0.783,1.49009493979095e-12
"TCEA1",4.59980470232667e-17,0.558357123946234,0.788,0.727,1.54985819640195e-12
"FKBP1A",5.13127010301811e-17,0.514064482922422,0.842,0.866,1.72893014851092e-12
"SUMO2",5.14062816025105e-17,0.310568477956858,0.996,0.997,1.73208325231499e-12
"FKBP3",5.14913421258201e-17,0.549831237691753,0.805,0.785,1.73494928158738e-12
"PRDX6",6.61584734587148e-17,0.472151910142708,0.942,0.954,2.22914360471794e-12
"PSMA5",9.34639823709814e-17,0.621272592533985,0.651,0.571,3.14917542200785e-12
"CAPZB",1.23735857822001e-16,0.547533674282827,0.809,0.835,4.1691559934545e-12
"CCT6A",1.28293125358307e-16,0.535183187188018,0.759,0.743,4.3227085658228e-12
"CCT4",1.39048128984905e-16,0.563642079181037,0.788,0.823,4.68508765801739e-12
"HMGA1",1.69561684310353e-16,0.264738238361698,1,0.999,5.71321139115303e-12
"MTCH2",1.92587106574774e-16,0.556224420930358,0.718,0.689,6.48902996893045e-12
"PSMA7",2.03146644731274e-16,0.444230133835623,0.963,0.965,6.84482304757554e-12
"TUBA1C",2.37826185271902e-16,0.635641769960772,0.726,0.695,8.01331548655148e-12
"SLC25A6",3.43222761762272e-16,0.326475832961917,1,0.996,1.1564547734818e-11
"SNRPG",3.49680287189781e-16,0.447618462675033,0.938,0.933,1.17821275965725e-11
"GCSH",4.06431213767766e-16,0.459662120712042,0.813,0.801,1.36942933166911e-11
"PSAT1",4.21253371309278e-16,0.745412398981271,0.581,0.477,1.41937110928948e-11
"EIF3K",4.87791061150802e-16,0.400123531531035,0.967,0.964,1.64356320144151e-11
"TXN",6.87202206831483e-16,0.435241332168501,0.946,0.941,2.315459115698e-11
"NDUFV2",7.37417968686457e-16,0.518702371819165,0.793,0.81,2.48465610369215e-11
"APRT",1.02028645283577e-15,0.477540548790767,0.855,0.83,3.43775317418484e-11
"UBE2L3",1.36648049629349e-15,0.600462184304635,0.751,0.741,4.60421938421127e-11
"CCT7",1.97938384974784e-15,0.552166247252024,0.722,0.7,6.66933594334037e-11
"ATP5F1",2.23852758759446e-15,0.498089751627722,0.788,0.788,7.54249485364077e-11
"NDUFS5",3.17259331602266e-15,0.342209434456503,0.992,0.987,1.06897359190067e-10
"HSPA9",3.33092439373686e-15,0.64930648690852,0.618,0.521,1.1223216652257e-10
"ATP5A1",3.91619115214767e-15,0.370204896187913,0.942,0.96,1.31952144680463e-10
"PSMA1",4.80353438763829e-15,0.50010500225409,0.826,0.839,1.61850287657085e-10
"HPRT1",5.60173195505097e-15,0.645424927611471,0.535,0.425,1.88744756493487e-10
"GLRX3",9.81093776462735e-15,0.644975426698484,0.627,0.58,3.30569737041354e-10
"UQCRH",1.01108749179612e-14,0.289952606277604,1,0.996,3.40675819485785e-10
"STRAP",1.03383695211093e-14,0.507863268518216,0.784,0.81,3.48341022644256e-10
"PSMC4",1.17261745835682e-14,0.601570379869574,0.585,0.498,3.95101726418747e-10
"MRPL15",1.7149377350604e-14,0.611925025900764,0.606,0.517,5.77831120451251e-10
"CD24",2.00949868286672e-14,0.5281573240647,0.946,0.946,6.77080486205113e-10
"NDUFAB1",2.16422646569666e-14,0.472848004409734,0.876,0.86,7.29214465351833e-10
"PPP1CA",2.34198350542631e-14,0.503205142844731,0.751,0.744,7.8910792231834e-10
"YWHAH",2.77300335378359e-14,0.519869282635526,0.718,0.721,9.34335750023844e-10
"CARHSP1",3.08379128410648e-14,0.501687626639035,0.888,0.867,1.03905263526684e-09
"PPA1",3.29824011582835e-14,0.518924879611762,0.768,0.786,1.11130902462721e-09
"EIF1",3.34098862633715e-14,0.331074921330966,0.988,0.994,1.12571270775804e-09
"HNRNPDL",3.38763267427973e-14,0.487109189151663,0.876,0.898,1.14142895327181e-09
"EIF4E",3.44809573784608e-14,0.579579908280832,0.639,0.605,1.16180137790986e-09
"SRSF7",3.46382473038265e-14,0.501685015309448,0.855,0.848,1.16710110465513e-09
"CDC20",3.75389257914846e-14,0.71100889340156,0.577,0.476,1.26483656561828e-09
"ATP5J2",3.76382498340095e-14,0.425368495451608,0.95,0.953,1.26818318990712e-09
"DSTN",4.50440487224487e-14,0.494322267397421,0.855,0.861,1.51771417765419e-09
"VCP",5.09879542521033e-14,0.534327283274316,0.664,0.611,1.71798813057037e-09
"PEBP1",5.24073301929284e-14,0.347292538590599,0.979,0.989,1.76581258352053e-09
"SNRPF",7.2945478746328e-14,0.359558235111203,0.979,0.96,2.45782496087878e-09
"PSMD7",8.56065811395926e-14,0.660305885327706,0.643,0.595,2.88442814491743e-09
"TCP1",9.49314348924028e-14,0.599209624982594,0.71,0.691,3.19861976726462e-09
"FKBP4",1.30148257617499e-13,0.714953371351625,0.606,0.562,4.385215392164e-09
"SLIRP",1.58434727409051e-13,0.422343333515465,0.925,0.935,5.33829970532057e-09
"PIM2",1.60439037803075e-13,0.60602950573194,0.49,0.338,5.4058329397368e-09
"VDAC2",2.48897048087189e-13,0.489194455672094,0.817,0.849,8.38633713824975e-09
"C11orf58",3.69554768350588e-13,0.429486785399555,0.805,0.834,1.24517783648047e-08
"SNRNP40",4.15427303872218e-13,0.601681575986403,0.552,0.478,1.39974075766705e-08
"UBE2N",5.22341066451914e-13,0.607839254194252,0.656,0.644,1.75997598930308e-08
"CNN3",8.39994726968434e-13,0.488072738601403,0.747,0.759,2.83027823304744e-08
"CCNC",8.8020712263333e-13,0.7082665696649,0.568,0.516,2.96576987900074e-08
"HNRNPF",9.14616927073354e-13,0.594074445112081,0.664,0.653,3.08171027408096e-08
"PDLIM1",1.1077182456162e-12,0.72656364359508,0.627,0.509,3.73234585677923e-08
"UBE2D3",1.70109587023099e-12,0.396024114151343,0.863,0.901,5.73167242515628e-08
"PCNA",2.0211792186174e-12,0.530225142691536,0.535,0.433,6.81016125920948e-08
"CDK1",2.04196353738693e-12,0.678628052221835,0.44,0.31,6.88019194287152e-08
"TCEAL8",2.23068067951181e-12,0.463452037081786,0.759,0.792,7.5160554815471e-08
"MYL12A",2.24263927794393e-12,0.505043927016386,0.718,0.714,7.55634878310426e-08
"NCL",2.244610049702e-12,0.555985611474166,0.851,0.881,7.56298910146592e-08
"NDUFS6",2.50996575866612e-12,0.350393099412138,0.929,0.917,8.45707862724962e-08
"ATPIF1",2.56881876935365e-12,0.424820641115399,0.846,0.878,8.65537796146019e-08
"DNAJB6",3.1006490042728e-12,0.573978920120839,0.73,0.74,1.04473267549968e-07
"PSMC5",3.18807381492533e-12,0.465776225371527,0.734,0.733,1.07418959120094e-07
"PMF1",3.90342387604996e-12,0.549902816359195,0.693,0.699,1.31521964079627e-07
"MAD2L1",4.08412701283291e-12,0.617006423751183,0.527,0.438,1.37610575570392e-07
"PSMC1",4.68860106936702e-12,0.590939583339933,0.61,0.593,1.57977724431252e-07
"HNRNPC",5.17773588112316e-12,0.39391793946384,0.929,0.96,1.74458632778564e-07
"SAE1",5.25894223918224e-12,0.55255969178788,0.635,0.602,1.77194799807006e-07
"CENPU",6.20043119583211e-12,0.533031743641618,0.535,0.441,2.08917328712367e-07
"BTF3",8.19119273831095e-12,0.276437045849522,1,0.997,2.75994048124649e-07
"MRPL20",8.60819597448288e-12,0.403056765507694,0.826,0.821,2.90044555164226e-07
"DPPA4",9.64490259862979e-12,0.56789535996544,0.598,0.522,3.24975348158232e-07
"NME1",1.21125014263487e-11,0.482980036639523,0.784,0.781,4.08118623059395e-07
"PTTG1",1.63678718308125e-11,0.487495973469465,0.817,0.783,5.51499073467396e-07
"UBB",1.68307025242383e-11,0.279460615700224,0.983,0.989,5.67093690851684e-07
"MTHFD2",1.82981584822998e-11,0.603053452043592,0.494,0.388,6.16538151902609e-07
"DNAJC8",2.11080709919607e-11,0.557059273580667,0.71,0.747,7.11215344003122e-07
"SNRPB",2.44493524316972e-11,0.370474133467305,0.934,0.927,8.23796480833607e-07
"UQCRFS1",2.71837077069965e-11,0.437361521426949,0.813,0.848,9.15927847479539e-07
"TPM1",2.86398360044089e-11,0.415571499934068,0.88,0.885,9.64990634332555e-07
"NARS",2.94837779896618e-11,0.571065152530774,0.527,0.455,9.93426415583663e-07
"TPM3",3.06906676081855e-11,0.545236625044369,0.668,0.694,1.0340913543902e-06
"PSMD4",3.58405976510269e-11,0.482421509128168,0.685,0.703,1.2076130972537e-06
"MARCKSL1",3.5859600167329e-11,0.287415590422117,0.975,0.99,1.20825336803798e-06
"ATP5C1",4.03914694742781e-11,0.474529172055696,0.759,0.783,1.36095017246633e-06
"PPP2CA",4.574322377161e-11,0.535176747518683,0.56,0.505,1.54127218176063e-06
"KRT8",5.2080278358546e-11,0.469684341982749,0.747,0.737,1.75479289901285e-06
"GADD45GIP1",7.47844945513352e-11,0.427769951955202,0.867,0.876,2.51978875941269e-06
"RPL36AL",8.28636662045981e-11,0.340125871633407,0.95,0.967,2.79200836909773e-06
"RAC1",8.97559870373251e-11,0.33588160940436,0.909,0.949,3.02423822723563e-06
"PSIP1",1.1063948773024e-10,0.536643805827477,0.726,0.745,3.72788689958272e-06
"ATP5O",1.20094189439659e-10,0.32439211457727,0.967,0.978,4.04645361897988e-06
"SNU13",1.34894461698786e-10,0.342464715545727,0.867,0.892,4.54513399247891e-06
"BIRC5",1.379302889837e-10,0.483623556392579,0.664,0.611,4.64742315701678e-06
"WDR1",1.99391880298551e-10,0.562700960643134,0.56,0.504,6.71831001477939e-06
"PRDX2",2.06910360424967e-10,0.383679051417812,0.925,0.96,6.97163768415882e-06
"ATP5I",2.73934469712656e-10,0.289234708893223,0.971,0.973,9.22994802249823e-06
"LSM3",3.36930626961514e-10,0.435509018508521,0.842,0.875,1.13525405448412e-05
"NRBP1",3.42752024236447e-10,0.557540457104975,0.506,0.435,1.15486867046229e-05
"PCNP",3.54416032790563e-10,0.416435560259109,0.685,0.714,1.19416938088452e-05
"HMGB2",5.77830931239509e-10,0.34548915072661,0.867,0.828,1.9469435397184e-05
"SNRPA1",6.45487568868482e-10,0.465834034036722,0.664,0.688,2.17490581454546e-05
"NAE1",7.37539683450076e-10,0.565893636513299,0.568,0.552,2.48506620941669e-05
"NDUFA6",8.86122932084007e-10,0.372939277108524,0.863,0.872,2.98570260736385e-05
"MAPRE1",9.46155788316696e-10,0.566322862393575,0.598,0.584,3.18797731315428e-05
"TPM4",1.1716328374934e-09,0.385451277245345,0.78,0.814,3.94769968265026e-05
"SMS",1.18510305067158e-09,0.45785211319611,0.747,0.773,3.99308621893282e-05
"TOMM22",1.3363873361434e-09,0.400412978803757,0.743,0.804,4.50282349040156e-05
"PPP1CC",1.93865995615472e-09,0.381313497365442,0.788,0.849,6.53212085626771e-05
"MRPL3",1.9608649733326e-09,0.483661031790393,0.581,0.552,6.60693844114686e-05
"H2AFZ",2.37671053392602e-09,0.261034654758295,0.992,0.996,8.00808847301035e-05
"EIF6",2.65080646652488e-09,0.494590574512036,0.643,0.636,8.93162730830892e-05
"BUB3",2.75517392922803e-09,0.625646411775582,0.527,0.484,9.28328303714092e-05
"VAPA",3.17179143043383e-09,0.468421174739238,0.606,0.611,0.000106870340457038
"HNRNPA0",3.50904750846675e-09,0.330032852632099,0.842,0.896,0.000118233846750279
"PSMD11",3.88373368086261e-09,0.577740860141774,0.531,0.495,0.000130858522642985
"RP11-568A7.4",4.16968840475621e-09,0.508268004846592,0.506,0.366,0.000140493481109856
"HSBP1",4.36409850243189e-09,0.320650479354461,0.95,0.967,0.00014704393494094
"TBCB",5.31743279296875e-09,0.399764793768212,0.759,0.794,0.000179165580526289
"HMGN2",6.03743403074262e-09,0.256633881851324,0.988,0.987,0.000203425302231842
"SEPT2",1.1654789901024e-08,0.422546281447609,0.643,0.657,0.000392696490925103
"AURKA",1.27626668752492e-08,0.540445126513832,0.407,0.312,0.000430025297694647
"PPP2R1A",1.45450321997194e-08,0.405098703527778,0.685,0.729,0.000490080314937345
"ARPC3",1.64758942031136e-08,0.367766266244894,0.797,0.837,0.000555138779279709
"NUTF2",1.72073858222367e-08,0.356636247341525,0.747,0.798,0.000579785657894442
"PSMD8",1.77842859443189e-08,0.413664380244027,0.714,0.761,0.000599223730607881
"PLA2G16",1.80813619088537e-08,0.519070832356244,0.651,0.588,0.000609233408156915
"MIF",2.00757112627017e-08,0.254150764077148,0.992,0.984,0.000676431015285471
"SRM",2.30528092551616e-08,0.393416355470993,0.759,0.766,0.000776741355043414
"CLTA",2.3586774771892e-08,0.304727446463507,0.867,0.903,0.000794732789164131
"MRPL13",2.61487602639674e-08,0.534590183282827,0.564,0.557,0.000881056328334118
"MRPL51",2.73934022323747e-08,0.334756129564269,0.871,0.921,0.000922993294817632
"UQCRC2",3.16418116387916e-08,0.43471977915544,0.656,0.685,0.00106613920135744
"PRELID1",3.31420511701395e-08,0.307618005234024,0.913,0.918,0.00111668827212668
"RNASEH2A",3.57082848528413e-08,0.493044464786369,0.585,0.593,0.00120315494983164
"BTF3L4",3.65896457532732e-08,0.44895321221233,0.622,0.66,0.00123285152401079
"GNL3",3.72271100759019e-08,0.480197584438151,0.506,0.467,0.00125433024689744
"ARPC2",3.73325968541945e-08,0.358570939741347,0.809,0.851,0.00125788451840523
"COX5A",3.97691119864491e-08,0.294858919207885,0.942,0.966,0.00133998045927141
"SRSF2",4.1576169893523e-08,0.388950883105903,0.805,0.84,0.00140086746839236
"COPS3",5.44197126148707e-08,0.476071130394773,0.477,0.431,0.00183361779684545
"RAB11A",5.97096340862624e-08,0.460973790961829,0.685,0.73,0.00201185641090253
"RSL1D1",6.26752163391601e-08,0.407011819927278,0.705,0.756,0.00211177873933166
"NDUFB4",7.20214139431825e-08,0.344800978829491,0.859,0.888,0.00242668952140159
"MRPS15",7.75754369589896e-08,0.489445882336273,0.664,0.709,0.0026138267728962
"APEX1",9.6502191526957e-08,0.374227931700405,0.743,0.792,0.00325154484130929
"ARF1",1.01585066494328e-07,0.354467267488547,0.685,0.706,0.0034228072304599
"DUT",1.28205605959723e-07,0.466722007856616,0.68,0.714,0.00431975968720691
"PSMD6",1.3307433388861e-07,0.421368613145919,0.481,0.427,0.00448380660604281
"CMSS1",1.65540960384741e-07,0.420007873801434,0.56,0.561,0.00557773711920347
"CYC1",1.66530488583284e-07,0.360052202230533,0.73,0.758,0.00561107828232518
"DCAF13",1.83616457367156e-07,0.53879449991397,0.461,0.408,0.00618677291452896
"MAGOHB",2.40286456739625e-07,0.516276382654513,0.419,0.363,0.00809621187338491
"DDX39A",2.4888524408066e-07,0.461179039930805,0.452,0.399,0.00838593941405374
"LYPLA1",2.72960164468987e-07,0.480708385693453,0.589,0.597,0.00919711978161805
"MAD2L2",2.77781568895894e-07,0.385925595626036,0.768,0.78,0.00935957218237826
"AP2S1",2.78746127933408e-07,0.292988521237791,0.871,0.901,0.00939207203458826
"FAM136A",2.83186796202298e-07,0.382252288336815,0.68,0.707,0.00954169591124022
"PLK1",3.30612459679591e-07,0.528291647713744,0.402,0.318,0.0111396562164442
"ZFP42",3.63864338288641e-07,0.445007074548759,0.349,0.26,0.0122600450142975
"RBBP7",3.91529725571099e-07,0.382346486118998,0.618,0.632,0.0131922025733926
"PSMA2",4.0268823061603e-07,0.441042351424848,0.568,0.584,0.0135681772423765
"PSME2",4.65026129464182e-07,0.507616527391093,0.56,0.557,0.0156685904061661
"AP1S2",4.86049609541534e-07,0.400939107398171,0.676,0.698,0.0163769555438924
"PUF60",5.39828486282311e-07,0.400413783301268,0.606,0.614,0.0181889810167962
"TUBB2B",5.68624672680752e-07,0.386713531626267,0.788,0.825,0.0191592397213053
"TUBA1A",5.84800714256041e-07,0.405881373324642,0.859,0.905,0.019704275266143
"GSTO1",6.34012256132169e-07,0.446007188025809,0.581,0.572,0.0213624089581173
"MCM3",6.37043104584024e-07,0.497847798515738,0.527,0.513,0.0214645303658541
"ADRM1",7.17310624190242e-07,0.48068160211426,0.606,0.627,0.024169064171466
